recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
       1;GROTH_MOS01-21  ;216.1622;+54.0911; ;22.54; ; 4.60; ; 1.04; ; 0.80; ; 1.13;V;pt ;14.92;Mdw;      ; ;Mdw
       2;VVDS22H_MOS05-05;333.8326;-00.5491; ;21.14; ; 4.47; ; 0.99; ; 0.90; ; 0.74;F;pt ;21.24;QSO;      ; ;CV
       3;ELAISN1_MOS15-02;242.0397;+54.3586;>;22.89;>; 4.03; ; 1.37; ; 0.84; ; 2.93;V;pt ;22.51;QSO;      ; ;CV
       4;ELAISN1_MOS15-09;242.3685;+53.6738;>;23.03;>; 4.02; ; 1.23; ; 0.01; ; 2.15;F;ext;21.05;   ;      ; ;Galaxy Trans
       5;GROTH_MOS07-09  ;212.5024;+52.4153;>;23.10;>; 3.61; ; 3.51; ; 0.09; ; 0.69;F;pt ;17.45;Mdw;      ; ;Mdw
       6;CDFS_MOS02-20   ;053.1682;-26.3564;>;23.06;>; 3.60; ; 0.73; ; 0.95; ; 0.78; ;   ;15.72;Mdw;      ; ;Mdw
       7;CDFS_MOS00-41   ;053.3453;-27.3361;>;23.10;>; 3.36; ; 0.36; ; 0.39; ; 0.15;V;   ;15.76;   ;      ; ;Mdw
       8;COSMOS_MOS22-11 ;149.4973;+03.1171; ;22.56; ; 3.35; ; 0.75; ;     ; ; 0.58;F;pt ;14.25;Mdw;      ; ;Mdw
       9;GROTH_MOS05-00  ;214.9435;+52.9953; ;22.07; ; 3.29; ; 0.71; ; 1.18; ; 0.65;F;pt ;14.15;Mdw;      ;X;Mdw
      10;XMMLSS_MOS06-22 ;036.6468;-05.0886;>;22.95;>; 3.28; ; 0.95;<; 0.00; ; 4.04; ;pt ;15.58;Mdw;      ;X;Mdw
      11;XMMLSS_MOS06-13 ;036.1977;-05.7411;>;22.95;>; 3.07; ; 0.94; ; 0.90; ; 3.14;V;pt ;16.36;Mdw;      ; ;Mdw
      12;VVDS22H_MOS06-14;333.0054;-00.0571; ;21.61; ; 2.92; ; 0.75; ; 1.02; ; 0.98;V;pt ;17.97;QSO;      ; ;RRAB
      13;VVDS22H_MOS01-20;332.9690;+00.6330; ;20.80; ; 2.91; ; 0.60; ; 0.94; ; 0.80;V;pt ;16.72;RRL;      ; ;RRL
      14;CDFS_MOS02-27   ;053.3843;-26.4151;>;23.04;>; 2.78; ; 0.81; ; 1.26; ; 1.00;V;pt ;19.09;   ;      ; ;Point Var
      15;CDFS_MOS00-34   ;053.2068;-27.4446;>;23.10;>; 2.73; ; 2.69; ; 0.21; ; 0.09;F;pt ;21.18;   ;      ; ;Mdw
      16;COSMOS_MOS26-10 ;150.1707;+01.3682;>;22.74;>; 2.70; ; 0.79; ; 1.45; ; 1.37;V;pt ;18.16;RRL;      ; ;BHB
      17;CDFS_MOS00-48   ;053.5173;-27.9419;>;23.10;>; 2.61; ; 0.81; ; 0.15; ; 2.81;V;ext;21.25;   ;      ; ;AGN
      18;ELAISN1_MOS14-10;244.1190;+53.7978;>;23.00;>; 2.59; ; 1.54; ; 0.48; ; 1.52; ;pt ;23.22;   ;      ; ;QSO
      19;GROTH_MOS05-28  ;216.2153;+52.9668; ;22.70; ; 2.57; ; 0.72; ; 0.31; ; 1.00;V;ext;     ;   ;      ; ;AGN
      20;XMMLSS_MOS00-06 ;035.3590;-03.2330;>;22.93;>; 2.56; ; 0.49; ; 0.39; ; 0.36;F;pt ;17.09;Mdw;      ;X;Mdw
      21;GROTH_MOS04-09  ;211.9660;+53.8581;>;23.08;>; 2.47; ; 2.37; ; 0.80; ; 0.34;F;pt ;18.96;Mdw;      ; ;Mdw
      22;CDFS_MOS01-18   ;051.9778;-28.2587;>;23.10;>; 2.43; ; 0.60; ; 0.24; ; 0.26; ;pt ;16.75;   ;      ; ;?
      23;GROTH_MOS01-17  ;215.7203;+53.8106; ;21.94; ; 2.42; ; 0.77; ; 0.17; ; 1.18;F;pt ;11.05;   ;      ; ;S Boo (LPV)
      24;XMMLSS_MOS04-19 ;037.1814;-04.2070; ;22.02; ; 2.37; ; 0.43;<; 0.00; ; 2.79;V;ext;20.52;   ;      ; ;AGN
      25;XMMLSS_MOS06-08 ;036.0164;-05.2675;>;22.95;>; 2.32; ; 0.49; ; 0.79; ; 0.45;F;pt ;15.72;Mdw;      ;X;Mdw
      26;XMMLSS_MOS06-15 ;036.3409;-05.0050; ;21.16; ; 2.30; ; 0.58; ; 1.03; ; 0.75;V;pt ;17.41;RRL;      ; ;RRL
      27;VVDS22H_MOS05-06;333.9074;-00.8893;>;22.28;>; 2.28; ; 0.49; ; 0.62; ; 0.61;F;pt ;14.46;Mdw;      ; ;Mdw
      28;VVDS22H_MOS01-12;332.7151;+00.9594; ;21.41; ; 2.18; ; 0.40; ; 0.55; ; 0.75;V;pt ;14.06;Mdw;      ; ;Mdw
      29;GROTH_MOS04-18  ;212.4558;+53.9933; ;22.79; ; 2.17; ; 0.75; ; 0.20; ; 1.42;V;ext;21.61;   ;      ; ;AGN
      30;ELAISN1_MOS16-06;240.9017;+54.6899;>;23.03;>; 2.17; ; 1.12; ; 0.35; ; 0.44; ;pt ;16.09;Mdw;      ; ;Mdw
      31;VVDS22H_MOS00-20;333.8322;+01.6992; ;20.84; ; 2.12; ; 0.44; ; 0.68; ; 0.81; ;pt ;17.03;   ;      ; ;?
      32;XMMLSS_MOS05-22 ;035.4766;-04.7692;>;22.99;>; 2.12; ; 2.03; ; 0.45; ; 0.29;F;   ;     ;   ;      ; ;Orphan Trans
      33;ELAISN1_MOS13-00;240.9508;+54.9780; ;21.96; ; 2.11; ; 0.65; ; 1.02; ; 0.97;V;pt ;17.77;RRL;      ; ;RRL
      34;CDFS_MOS00-08   ;052.6772;-27.5209; ;22.17; ; 2.08; ; 0.45; ; 0.14; ; 1.52;V;ext;18.23;   ;      ; ;AGN
      35;XMMLSS_MOS06-16 ;036.3486;-05.5392; ;20.53; ; 2.07; ; 0.68; ; 1.19; ; 0.86;V;pt ;17.00;RRL;      ; ;RRL
      36;COSMOS_MOS27-03 ;149.1375;+01.0526;>;23.01;>; 2.01; ; 1.94; ; 0.42; ; 0.26;F;pt ;19.21;Mdw;      ; ;Mdw
      37;CDFS_MOS00-19   ;052.9703;-27.4303;>;23.10;>; 1.98; ; 1.94; ; 0.18;<; 0.00;F;pt ;18.43;Mdw;      ; ;Mdw
      38;VVDS22H_MOS01-18;332.9542;+00.4685;>;22.79;>; 1.96; ; 1.29; ; 0.25; ; 0.45;F;   ;     ;   ;      ; ;Orphan Trans
      39;ELAISN1_MOS12-16;243.4095;+54.6647;>;23.01;>; 1.94; ; 0.53; ; 0.53; ; 0.54;V;pt ;17.75;Mdw;      ; ;Mdw
      40;COSMOS_MOS26-21 ;150.3887;+01.7245; ;18.77; ; 1.93; ; 0.58; ; 1.20; ; 0.79;V;pt ;14.60;RRL;      ; ;RRL
      41;GROTH_MOS07-16  ;212.8570;+52.8234; ;22.87; ; 1.93; ; 0.68;<; 0.00; ; 1.61;V;ext;21.23;   ;      ; ;AGN
      42;COSMOS_MOS27-21 ;149.8931;+01.4807; ;22.25; ; 1.92; ; 0.61;<; 0.00; ; 1.66;V;ext;20.68;   ; 1.160;X;AGN
      43;ELAISN1_MOS11-14;244.6824;+54.8651; ;22.30; ; 1.92; ; 0.74; ; 0.15; ; 1.75; ;ext;20.49;   ;      ; ;?
      44;VVDS22H_MOS04-00;334.2392;-00.1091;>;22.27;>; 1.91; ; 0.44; ; 0.52; ; 0.87;F;pt ;18.19;RRL; 0.000; ;RRL
      45;XMMLSS_MOS00-01 ;035.0834;-03.1720;>;22.92;>; 1.90; ; 0.66;<; 0.00; ; 1.45;V;pt ;20.77;QSO;      ; ;QSO
      46;GROTH_MOS06-00  ;213.7506;+52.2732; ;22.52; ; 1.90; ; 0.66; ; 0.08; ; 1.13;V;pt ;14.06;   ;      ;X;QSO
      47;GROTH_MOS05-12  ;215.5056;+52.5473; ;22.92; ; 1.89; ; 0.39; ; 0.39; ; 0.75;V;pt ;19.93;QSO;      ; ;QSO
      48;ELAISN1_MOS16-15;241.2133;+54.1410; ;20.25; ; 1.89; ; 0.44; ; 0.89; ; 0.67; ;pt ;15.82;RRL;      ; ;BHB
      49;COSMOS_MOS27-13 ;149.6016;+00.9365;>;23.01;>; 1.88; ; 1.81; ; 0.28; ; 0.29;F;ext;24.01;   ;      ; ;Galaxy Trans
      50;XMMLSS_MOS04-08 ;036.6287;-04.5758;>;22.96;>; 1.88; ; 1.65; ; 0.48; ; 0.47;F;ext;23.60;   ;      ; ;Galaxy Trans
      51;XMMLSS_MOS06-06 ;035.9628;-05.6756; ;22.45; ; 1.87; ; 0.53; ; 0.34; ; 0.98;V;ext;12.34;   ;      ; ;AGN
      52;GROTH_MOS02-01  ;213.2254;+54.0042; ;22.18; ; 1.85; ; 0.42; ; 0.37; ; 0.63;V;ext;18.74;   ; 0.187; ;AGN
      53;ELAISN1_MOS10-01;241.8077;+55.8589; ;19.91; ; 1.85; ; 0.62; ; 1.05; ; 0.92; ;pt ;15.49;RRL;      ; ;RRL
      54;COSMOS_MOS24-06 ;149.6110;+02.4715; ;22.92; ; 1.85; ; 0.51; ; 0.16; ; 0.77;V;ext;22.25;   ; 0.693;X;AGN
      55;CDFS_MOS01-10   ;051.7717;-28.3679;>;23.09;>; 1.84; ; 0.56; ; 0.39; ; 2.03; ;ext;21.01;   ;      ; ;?
      56;VVDS22H_MOS03-03;333.3078;+00.6381;>;22.50;>; 1.83; ; 0.55; ; 0.25; ; 1.34;V;ext;20.58;   ;      ; ;AGN
      57;CDFS_MOS05-07   ;051.7588;-27.2906;>;23.09;>; 1.83; ; 1.76; ; 0.30; ; 0.17;F;pt ;19.47;Mdw;      ; ;Mdw
      58;GROTH_MOS04-17  ;212.3158;+53.4561; ;21.08; ; 1.81; ; 0.67; ; 0.13; ; 1.51;V;ext;18.36;   ; 0.259;X;AGN
      59;ELAISN1_MOS15-10;242.3832;+53.6801;>;23.03;>; 1.81; ; 0.60; ; 0.86; ; 0.80;V;pt ;16.13;Mdw;      ; ;Mdw
      60;CDFS_MOS03-21   ;054.5768;-27.3759; ;22.30; ; 1.80; ; 0.38; ; 0.57; ; 0.51;V;ext;16.24;   ;      ; ;AGN
      61;XMMLSS_MOS05-27 ;035.6334;-05.0545;>;22.96;>; 1.78; ; 0.55; ; 0.14; ; 1.80; ;ext;45.21;   ;      ;X;AGN
      62;VVDS22H_MOS01-13;332.7229;+00.1893;>;22.73;>; 1.77; ; 0.33; ; 0.23; ; 1.08;V;ext;21.33;   ;      ; ;AGN
      63;VVDS22H_MOS00-08;333.5238;+01.3519; ;22.72; ; 1.77; ; 0.38; ; 0.66; ; 0.52;V;pt ;18.73;QSO;      ; ;QSO
      64;XMMLSS_MOS02-00 ;034.4768;-04.0660; ;22.59; ; 1.77; ; 0.41; ; 0.15; ; 1.81; ;ext;20.30;   ;      ; ;?
      65;VVDS22H_MOS01-14;332.7459;+00.6269;>;22.79;>; 1.77; ; 1.69; ; 0.28; ; 0.33;F;pt ;20.26;Mdw;      ; ;Mdw
      66;CDFS_MOS06-09   ;053.9560;-27.9187; ;22.98; ; 1.77; ; 0.77; ;     ; ; 1.73;F;ext;20.33;   ;      ; ;Galaxy Flare
      67;XMMLSS_MOS01-16 ;036.5427;-03.9709;>;22.97;>; 1.77; ; 0.80; ; 0.05; ; 1.50;V;ext;21.69;   ;      ;X;AGN
      68;GROTH_MOS07-17  ;212.8858;+52.8531; ;21.98; ; 1.76; ; 0.56; ; 0.14; ; 0.95;V;pt ;20.45;QSO;      ; ;QSO
      69;CDFS_MOS04-03   ;052.5758;-28.5337;>;23.10;>; 1.75; ; 1.68; ; 0.19; ; 0.27;F;pt ;17.75;Mdw;      ; ;Mdw
      70;CDFS_MOS03-01   ;053.6570;-27.5200;>;23.07;>; 1.74; ; 1.67; ; 0.19; ; 0.25;F;ext;15.48;   ;      ; ;Galaxy Trans
      71;ELAISN1_MOS15-20;242.8292;+53.7492;>;23.03;>; 1.73; ; 1.62; ; 0.06; ; 0.32;F;ext;17.15;   ;      ; ;Galaxy Trans
      72;CDFS_MOS01-32   ;052.3939;-28.4029; ;20.59; ; 1.73; ; 0.61; ; 0.45; ; 0.81;V;   ;15.33;   ;      ; ;Point Var
      73;XMMLSS_MOS06-07 ;035.9744;-04.9189;>;22.93;>; 1.72; ; 0.31; ; 0.25; ; 1.75; ;ext;21.79;   ;      ;X;AGN
      74;VVDS22H_MOS04-01;334.4712;-00.0933; ;18.15; ; 1.71; ; 0.49; ; 0.86; ; 0.64;V;pt ;13.88;RRL;      ; ;RRL
      75;CDFS_MOS00-31   ;053.1755;-27.9503;>;23.10;>; 1.71; ; 0.24; ; 0.30; ; 0.51;F;   ;13.96;   ;      ;X;?
      76;COSMOS_MOS24-21 ;149.9457;+02.3694; ;22.51; ; 1.71; ; 0.51; ; 0.13; ; 1.21;V;pt ;20.92;QSO; 0.909;X;QSO
      77;VVDS22H_MOS02-09;334.9264;+00.5711;>;22.69;>; 1.71; ; 0.67;<; 0.00; ; 1.67;V;pt ;20.33;QSO; 1.547; ;QSO
      78;COSMOS_MOS24-25 ;150.0237;+02.7526; ;22.33; ; 1.70; ; 0.46; ; 0.20; ; 0.93;V;ext;20.06;   ;      ;X;AGN
      79;XMMLSS_MOS04-02 ;036.4136;-04.3747;>;22.91;>; 1.70; ; 0.45; ; 0.29; ; 1.03;V;ext;21.44;   ;      ;X;AGN
      80;CDFS_MOS03-12   ;054.1063;-26.9720; ;22.68; ; 1.70; ; 0.52; ; 0.21; ; 1.04;V;ext;20.97;   ;      ; ;AGN
      81;COSMOS_MOS23-27 ;151.0597;+01.6834;>;22.97;>; 1.69; ; 1.61; ; 0.28; ; 0.40;F;pt ;19.11;Mdw;      ; ;Mdw
      82;XMMLSS_MOS01-07 ;036.2256;-03.1559; ;22.94; ; 1.69; ; 0.44; ; 0.48; ; 0.39;V;pt ;16.05;Mdw;      ; ;Mdw
      83;ELAISN1_MOS14-14;244.4099;+54.4480; ;22.17; ; 1.69; ; 0.57;<; 0.00; ; 1.28;V;ext;20.71;   ;      ; ;AGN
      84;ELAISN1_MOS16-19;241.4532;+54.0758;>;22.88;>; 1.69; ; 0.46; ; 0.13; ; 1.00; ;pt ;21.01;QSO;      ; ;QSO
      85;VVDS22H_MOS02-10;334.9274;+00.5712;>;22.69;>; 1.68; ; 0.69; ; 0.20; ; 1.70;V;pt ;20.33;QSO; 1.547; ;QSO
      86;ELAISN1_MOS16-25;241.7314;+54.2145; ;22.86; ; 1.68; ; 0.49;<; 0.00; ; 1.08;V;ext;20.10;   ;      ; ;AGN
      87;CDFS_MOS03-00   ;053.6164;-27.2062; ;19.37; ; 1.67; ; 0.58; ; 1.04; ; 0.75;V;ext;15.38;   ;      ; ;AGN
      88;COSMOS_MOS25-12 ;149.2600;+01.9728; ;22.29; ; 1.67; ; 0.53; ; 0.18; ; 1.26;V;pt ;19.98;Mdw;      ; ;Mdw
      89;COSMOS_MOS24-10 ;149.7036;+02.5782; ;22.61; ; 1.66; ; 0.44; ; 0.20; ; 1.35;F;pt ;20.84;QSO; 1.545;X;QSO
      90;COSMOS_MOS26-29 ;150.5408;+01.2335; ;21.99; ; 1.66; ; 0.32; ; 0.50; ; 0.47;F;ext;20.42;   ;      ; ;Galaxy Flare
      91;XMMLSS_MOS05-02 ;034.7947;-05.3076;>;22.98;>; 1.65; ; 0.37; ; 0.66; ; 0.71;F;ext;20.55;   ;      ; ;Galaxy Trans
      92;XMMLSS_MOS05-03 ;034.7953;-05.3068;>;22.98;>; 1.65; ; 0.35; ; 0.57; ; 0.60;F;ext;23.19;   ;      ; ;Galaxy Trans
      93;GROTH_MOS07-12  ;212.6910;+52.4891; ;22.22; ; 1.64; ; 0.50; ; 0.25; ; 0.94; ;ext;18.82;   ;      ; ;?
      94;VVDS22H_MOS05-10;334.0545;-00.7312; ;22.23; ; 1.64; ; 0.44; ; 0.22; ; 1.58;F;ext;22.74;   ;      ; ;Galaxy Flare
      95;CDFS_MOS03-11   ;054.0139;-27.0610; ;22.15; ; 1.63; ; 0.61; ; 0.05; ; 1.51;V;ext;20.84;   ;      ; ;AGN
      96;VVDS22H_MOS02-00;334.1226;+00.3950; ;22.17; ; 1.62; ; 0.32; ; 0.10; ; 1.30;V;pt ;19.72;QSO; 1.905; ;QSO
      97;XMMLSS_MOS00-10 ;035.5437;-02.9747;>;22.93;>; 1.61; ; 0.44;<; 0.00; ; 1.92; ;pt ;21.30;QSO;      ;X;QSO
      98;CDFS_MOS05-22   ;052.1572;-27.5709; ;22.66; ; 1.61; ; 0.52; ; 0.16; ; 1.33;V;ext;20.84;   ;      ; ;AGN
      99;CDFS_MOS00-22   ;053.0476;-27.2775; ;22.89; ; 1.60; ; 0.26; ; 0.30; ; 0.96;V;pt ;21.46;   ;      ; ;QSO
     100;COSMOS_MOS25-11 ;149.2474;+01.8768;>;22.77;>; 1.59; ; 0.44; ; 0.52; ; 0.98;V;pt ;20.23;QSO; 1.557; ;QSO
     101;COSMOS_MOS21-23 ;150.9025;+03.3952;>;22.82;>; 1.59; ; 0.92; ; 0.09; ; 1.73;V;ext;21.33;   ;      ; ;AGN
     102;COSMOS_MOS23-38 ;151.5265;+02.0894; ;21.72; ; 1.58; ; 0.51; ; 0.11; ; 1.51;F;ext;18.01;   ; 0.217; ;AGN
     103;CDFS_MOS01-23   ;052.0565;-28.0758; ;23.05; ; 1.58; ; 0.56;<; 0.00; ; 1.38;V;pt ;20.87;QSO;      ; ;QSO
     104;GROTH_MOS04-28  ;213.0439;+53.4333; ;22.22; ; 1.58; ; 0.59; ; 1.05; ; 0.96; ;ext;20.68;   ;      ; ;?
     105;COSMOS_MOS24-37 ;150.3181;+02.6020; ;22.22; ; 1.57; ; 0.55; ; 0.06; ; 1.34;F;ext;20.90;   ; 0.958;X;AGN
     106;ELAISN1_MOS15-21;242.8745;+53.7296; ;19.98; ; 1.57; ; 0.45; ; 0.93; ; 0.67;V;pt ;16.23;RRL;      ; ;RRL
     107;ELAISN1_MOS15-05;242.2709;+53.5559;>;23.03;>; 1.57; ; 0.44; ; 0.39; ; 1.00;V;pt ;21.23;QSO;      ; ;QSO
     108;ELAISN1_MOS11-10;244.5459;+55.6966; ;20.42; ; 1.57; ; 0.35; ; 0.72; ; 0.29;F;pt ;16.02;Mdw;      ; ;Mdw
     109;CDFS_MOS01-22   ;052.0541;-28.0530; ;22.69; ; 1.56; ; 0.50; ; 0.04; ; 1.43;F;pt ;21.19;QSO;      ; ;QSO
     110;COSMOS_MOS22-00 ;148.9528;+03.0467;>;22.80;>; 1.56; ; 1.51; ;     ; ; 0.29;F;pt ;22.95;   ;      ; ;Point Trans
     111;ELAISN1_MOS10-16;243.1999;+56.2160; ;22.20; ; 1.56; ; 0.53; ; 0.10; ; 1.15;V;pt ;20.66;   ;      ; ;QSO
     112;XMMLSS_MOS05-14 ;035.3023;-04.9717;>;22.97;>; 1.56; ; 0.40; ; 0.54; ; 0.46;F;ext;20.46;   ;      ; ;Galaxy Trans
     113;CDFS_MOS01-26   ;052.1809;-28.3567;>;23.09;>; 1.56; ; 0.66;<; 0.00; ; 1.65;V;pt ;20.53;QSO;      ; ;QSO
     114;ELAISN1_MOS12-08;242.7874;+55.0541; ;21.87; ; 1.55; ; 0.46; ; 0.93; ; 0.78;V;pt ;18.12;   ;      ; ;Point Var
     115;ELAISN1_MOS11-05;244.1236;+55.2319;>;22.97;>; 1.55; ; 0.29; ; 0.35; ; 0.34;F;ext;21.48;   ;      ; ;Galaxy Trans
     116;XMMLSS_MOS04-05 ;036.4677;-04.3800; ;22.44; ; 1.55; ; 0.25; ; 0.09; ; 1.27;V;ext;21.22;   ;      ;X;AGN
     117;XMMLSS_MOS04-04 ;036.4397;-04.5794;>;22.91;>; 1.55; ; 0.33;<; 0.00; ; 1.72;F;ext;21.32;   ; 0.152;X;AGN
     118;VVDS22H_MOS06-09;332.8058;-00.3874; ;20.86; ; 1.55; ; 0.46; ; 0.69; ; 0.72;V;pt ;17.01;RRL;      ; ;RRL
     119;VVDS22H_MOS03-07;333.3978;+00.4721; ;22.26; ; 1.55; ; 0.30; ; 0.11; ; 1.06;V;pt ;20.41;QSO; 1.289; ;QSO
     120;ELAISN1_MOS16-29;241.9148;+54.4259;>;23.03;>; 1.54; ; 1.17; ; 0.38; ; 0.35;F;   ;     ;   ;      ; ;Orphan Trans
     121;CDFS_MOS01-01   ;051.4814;-28.3711; ;22.00; ; 1.54; ; 0.26; ; 0.15; ; 1.42; ;ext;18.56;   ;      ; ;?
     122;XMMLSS_MOS05-10 ;035.0692;-04.5358;>;22.94;>; 1.54; ; 0.43; ; 0.10; ; 0.95;F;pt ;20.15;QSO;      ;X;QSO
     123;GROTH_MOS01-16  ;215.6861;+54.6397; ;22.26; ; 1.54; ; 0.48; ; 0.25; ; 0.92;V;ext;21.13;   ;      ; ;AGN
     124;XMMLSS_MOS01-22 ;036.7995;-03.3101;>;22.88;>; 1.54; ; 0.55; ; 0.10; ; 1.31;F;pt ;21.03;QSO;      ;X;QSO
     125;COSMOS_MOS26-17 ;150.3611;+00.7802;>;22.96;>; 1.54; ; 0.50;<; 0.00; ; 1.26;V;pt ;21.01;QSO;      ; ;QSO
     126;ELAISN1_MOS10-12;242.8612;+55.5080;>;23.02;>; 1.54; ; 0.59; ; 0.25; ; 0.67;V;ext;18.85;   ;      ; ;AGN
     127;ELAISN1_MOS15-16;242.7175;+53.7547;>;23.03;>; 1.53; ; 1.08; ; 0.43; ; 0.32; ;pt ;16.18;Mdw;      ; ;Mdw
     128;CDFS_MOS05-36   ;052.6091;-27.2057; ;23.09; ; 1.53; ; 0.54; ; 0.11; ; 1.35; ;ext;20.43;   ;      ; ;?
     129;XMMLSS_MOS02-04 ;034.7810;-03.5201;>;22.81;>; 1.53; ; 1.49; ; 0.74; ; 0.46;F;pt ;19.29;Mdw;      ; ;Mdw
     130;COSMOS_MOS23-24 ;151.0019;+02.6898;>;22.92;>; 1.52; ; 0.40; ; 0.15; ; 1.00;V;pt ;21.70;   ;      ; ;QSO
     131;CDFS_MOS00-09   ;052.6969;-27.9882; ;22.78; ; 1.52; ; 0.27; ; 0.15; ; 1.41; ;ext;20.95;   ;      ; ;?
     132;CDFS_MOS02-07   ;052.8119;-27.0300;>;23.10;>; 1.52; ; 1.45; ; 0.22; ; 0.19;F;   ;     ;   ;      ; ;Orphan Trans
     133;XMMLSS_MOS05-00 ;034.6599;-04.9501;>;22.94;>; 1.52; ; 0.54; ; 0.29; ; 1.26;V;pt ;21.20;QSO;      ; ;QSO
     134;COSMOS_MOS23-21 ;150.9347;+02.3869; ;21.87; ; 1.52; ; 0.50; ; 0.15; ; 1.28;V;pt ;21.09;QSO;      ; ;QSO
     135;CDFS_MOS00-58   ;053.6749;-27.9350;>;23.10;>; 1.51; ; 0.30;<; 0.00; ; 1.60; ;ext;21.26;   ;      ; ;?
     136;VVDS22H_MOS06-12;332.9254;-00.0716;>;22.24;>; 1.51; ; 1.02; ; 0.28; ; 0.14;F;ext;25.58;   ;      ; ;Galaxy Trans
     137;GROTH_MOS01-20  ;215.9694;+53.8933; ;22.47; ; 1.51; ; 0.43; ; 0.07; ; 0.83; ;ext;20.95;   ;      ; ;?
     138;COSMOS_MOS23-09 ;150.7827;+02.1927; ;22.74; ; 1.51; ; 0.40; ; 0.03; ; 1.08;V;ext;20.97;   ; 0.582;X;AGN
     139;XMMLSS_MOS05-08 ;034.9213;-04.6836; ;22.82; ; 1.51; ; 0.46;<; 0.00; ; 1.59; ;pt ;20.71;QSO;      ;X;QSO
     140;CDFS_MOS00-18   ;052.9657;-27.3741;>;23.10;>; 1.51; ; 0.32; ; 0.18; ; 1.49;F;ext;21.20;   ;      ; ;Galaxy Trans
     141;GROTH_MOS02-02  ;213.2673;+54.5728;>;23.01;>; 1.50; ; 0.40; ; 0.36; ; 0.60;V;ext;20.04;   ;      ; ;AGN
     142;GROTH_MOS05-27  ;216.1835;+52.6230;>;23.00;>; 1.50; ; 0.54; ; 0.08; ; 1.29; ;ext;19.42;   ;      ; ;?
     143;COSMOS_MOS24-18 ;149.8687;+01.9932;>;22.86;>; 1.49; ; 0.30; ; 0.45; ; 0.58;V;pt ;21.21;QSO; 1.183;X;QSO
     144;CDFS_MOS01-12   ;051.7962;-28.0011; ;22.91; ; 1.49; ; 0.49; ; 0.11; ; 1.19;V;ext;20.65;   ;      ; ;AGN
     145;COSMOS_MOS27-16 ;149.7120;+01.1252;>;22.97;>; 1.49; ; 0.47; ; 0.05; ; 1.31;F;pt ;20.37;QSO;      ; ;QSO
     146;ELAISN1_MOS16-28;241.8175;+54.2404; ;22.00; ; 1.49; ; 0.41; ; 0.08; ; 0.94;V;pt ;20.99;QSO;      ; ;QSO
     147;XMMLSS_MOS01-04 ;036.1204;-03.2590; ;22.03; ; 1.48; ; 0.27; ; 0.10; ; 1.35;V;pt ;20.50;QSO;      ;X;QSO
     148;CDFS_MOS04-13   ;053.0678;-28.7324; ;22.65; ; 1.48; ; 0.40; ; 0.12; ; 0.93;F;ext;21.46;   ;      ; ;Galaxy Flare
     149;VVDS22H_MOS06-15;333.0554;-00.7552; ;21.39; ; 1.48; ; 0.29; ; 0.50; ; 0.46;V;pt ;14.59;   ;      ; ;Point Var
     150;CDFS_MOS00-01   ;052.5741;-28.0421; ;22.92; ; 1.48; ; 0.28; ; 0.12; ; 1.38; ;pt ;19.75;QSO;      ; ;QSO
     151;GROTH_MOS05-04  ;215.1817;+52.6031; ;22.09; ; 1.48; ; 0.39; ; 0.21; ; 0.54; ;ext;19.64;   ;      ; ;?
     152;XMMLSS_MOS04-03 ;036.4233;-04.5715; ;22.43; ; 1.48; ; 0.50; ; 0.10; ; 1.15;F;ext;21.22;   ; 0.610; ;AGN
     153;COSMOS_MOS23-05 ;150.6832;+02.5750; ;21.99; ; 1.48; ; 0.45; ; 0.21; ; 1.21;V;ext;19.38;   ; 0.375;X;AGN
     154;CDFS_MOS00-43   ;053.3705;-27.9444; ;21.26; ; 1.48; ; 0.32; ; 0.05; ; 1.09;V;ext;19.90;   ;      ;X;AGN
     155;XMMLSS_MOS04-23 ;037.2912;-04.7667;>;22.96;>; 1.47; ; 1.40; ; 0.29; ; 0.19;F;pt ;20.46;Mdw;      ; ;Mdw
     156;CDFS_MOS05-29   ;052.3076;-27.0515; ;20.79; ; 1.47; ; 0.23;<; 0.00; ; 1.68; ;ext;18.61;   ;      ; ;?
     157;COSMOS_MOS24-13 ;149.7639;+02.3343; ;22.88; ; 1.47; ; 0.33; ; 0.17; ; 0.84;V;pt ;20.98;QSO; 1.139;X;QSO
     158;XMMLSS_MOS04-12 ;036.8288;-04.5262; ;22.63; ; 1.46; ; 0.44; ; 0.06; ; 1.06;V;ext;21.05;   ;      ;X;AGN
     159;COSMOS_MOS26-05 ;150.0856;+01.0867;>;22.91;>; 1.45; ; 0.36; ; 0.32; ; 0.95;V;pt ;20.48;QSO;      ; ;QSO
     160;COSMOS_MOS25-03 ;148.8698;+02.2892;>;22.83;>; 1.45; ; 0.88; ;     ; ; 1.56;V;pt ;20.83;QSO;      ; ;QSO
     161;ELAISN1_MOS16-17;241.3391;+54.1370;>;23.03;>; 1.45; ; 1.36; ; 0.22; ; 0.12;F;pt ;18.01;   ;      ; ;STAR
     162;COSMOS_MOS24-14 ;149.8173;+01.8469; ;22.68; ; 1.45; ; 0.45;<; 0.00; ; 0.82;V;ext;21.19;   ; 1.035;X;AGN
